tribe,genus,species,name,opt2,opt4,taxa,sociality,CF,CM,CA,QL,CL,WS,QS,QW,PM,QF,OR,WM,SX,R,BC,NC,OG
Apini,Apis,mellifera,A.mellifera,A,D,api,hgh,2400,80000,15000,2,5.6,1.8,0.99,4,0.01,1500,0.024,0,0.002,0.29,6,2,1
Apini,Apis,cerana,A.cerana,A,D,api,hgh,5600,40000,6900,,,1.77,1.08,4,0,960,0.112,0,0.002,0.35,6,1,1
Apini,Apis,dorsata,A.dorsata,A,D,api,hgh,4000,80000,36600,,,1.91,1.02,4,0,940,0.188,0,0.003,0.29,6,1,1
Apini,Apis,florea,A.florea,A,D,api,hgh,2000,30000,6300,,1,1.15,1.23,4,0,350,0.023,0,0.018,0.29,6,1,1
Meliponini,Tetragonisca,angustula,T.angustula,A,D,mel,hgh,500,8000,5000,3.5,8.15,3.2,1.85,4,0,154,1,0,0.012,,3,5,1
Meliponini,Melipona,quadrifasciata,M.quadrifasciata,A,D,mel,hgh,300,1500,900,3,,4.13,0.91,4,64,24,1,0,0.472,0.83,3,5,1
Meliponini,Frieseomelitta,varia,F.varia,A,D,mel,hgh,,1600,1200,,,1.56,1.1,4,0,,0,0,,,3,2,1
Meliponini,Scaptotrigona,postica,S.postica,A,D,mel,hgh,2000,50000,15000,,,2.24,1.25,4,14.7,543,1,0,,0.7,3,5,1
Meliponini,Melipona,beecheii,M.beecheii,A,D,mel,hgh,300,3000,800,3,15,1.92,0.85,4,0,18,1,0,0.366,0.68,3,5,1
Meliponini,Austroplebeia,australis,A.australis,A,D,mel,hgh,1000,5000,3000,,,2.81,1.1,4,7,39,,0,,0.78,3,5,1
Meliponini,Apotrigona,nebulata,A.nebulata,A,D,mel,hgh,195,2000,1700,,5.5,,,4,,,,0,0.001,,3,5,1
Meliponini,Cephalotrigona,capitata,C.capitata,A,D,mel,hgh,,1000,700,,23,,1.3,4,,,,0,,,3,5,1
Meliponini,Friesella,schrottkyi,F.schrottkyi,A,D,mel,hgh,300,2500,1400,,,2.39,,4,0,53,,0,,,3,4.5,1
Meliponini,Geotrigona,mombuca,G.mombuca,A,D,mel,hgh,,3000,2500,,,1.42,,4,0,,,0,,,3,5,1
Meliponini,Hypotrigona,gribodoi,H.gribodoi,A,D,mel,hgh,100,750,450,4,5.5,,,4,,50,,0,,,3,4,1
Meliponini,Lestrimelitta,limao,L.limao,A,D,mel,hgh,200,7000,4500,,10,1.44,1.38,4,,670,0.32,0,,0.65,3,5,1
Meliponini,Melipona,fasciata,M.fasciata,A,D,mel,hgh,200,2500,1000,,10,1.5,0.9,4,1,,1,0,0.498,,3,5,1
Meliponini,Melipona,fasciculata,M.fasciculata,A,D,mel,hgh,300,3000,600,,,1.13,0.85,4,0,,1,0,,0.75,3,5,1
Meliponini,Melipona,favosa,M.favosa,A,D,mel,hgh,60,700,400,3,,,0.75,4,94.5,10.1,1,0,0.261,,3,5,1
Meliponini,Melipona,flavolineata,M.flavolineata,A,D,mel,hgh,,3300,1500,,,2.02,0.87,4,,,1,0,,0.75,3,5,1
Meliponini,Melipona,fuliginosa,M.fuliginosa,A,D,mel,hgh,250,600,383,,,,0.9,4,,,1,0,,,3,5,1
Meliponini,Melipona,bicolor,M.bicolor,A,D,mel,hgh,150,800,425,7,,,0.84,4,54,30,1,0,0.5,0.64,3,5,1
Meliponini,Melipona,marginata,M.marginata,A,D,mel,hgh,160,2500,1330,,,,0.81,4,37.1,28,1,0,0.601,0.7,3,5,1
Meliponini,Melipona,scutellaris,M.scutellaris,A,D,mel,hgh,,2000,1500,,15,1.78,0.9,4,23,21.3,1,0,,0.77,3,5,1
Meliponini,Nannotrigona,testaceicornis,N.testaceicornis,A,D,mel,hgh,200,3000,2500,,10,1.6,1.11,4,,16,0.44,0,0.006,,3,4,1
Meliponini,Plebeia,remota,P.remota,A,D,mel,hgh,800,5000,2900,4,8.15,,,4,3,220,0.66,0,0.004,0.79,3,5,1
Meliponini,Plebeia,droryana,P.droryana,A,D,mel,hgh,200,10000,5000,,10,2.21,0.97,4,15.2,80,,0,,,3,5,1
Meliponini,Scaptotrigona,pectoralis,S.pectoralis,A,D,mel,hgh,1400,5200,3600,,23,,1.14,4,,,,0,,0.71,3,4,1
Meliponini,Schwarziana,quadripunctata,S.quadripunctata,A,D,mel,hgh,500,2500,1500,,,,1.17,4,0,,0.62,0,0.032,0.79,3,5,1
Meliponini,Tetragonula,carbonaria,T.carbonaria,A,D,mel,hgh,2500,11000,6750,,,,,4,0,300,0,0,,0.75,3,5,1
Meliponini,Trigona,spinipes,T.spinipes,A,D,mel,hgh,5000,53000,39000,,10,2.7,1.29,4,,,0.33,0,,0.75,3,5,1
Meliponini,Trigona,fulviventris,T.fulviventris,A,D,mel,hgh,2000,10000,5750,,23,,1.31,4,,,,0,,0.68,3,5,1
Bombini,Bombus,terrestris,B.terrestris,A,C,bom,prm,1,400,200,1,0.33,11.3,1.76,3,3.4,17,1,0,0.23,0.75,5,1.5,1
Bombini,Bombus,impatiens,B.impatiens,A,C,bom,prm,1,756,450,1,0.19,9.96,1.5,3,0,10,1,0,0.38,0.67,5,1,1
Bombini,Bombus,atratus,B.atratus,A,C,bom,prm,50,1605,480,1,5,7.7,1.297,3,90,16,1,1,0.3,,2,1.5,1
Bombini,Bombus,hortorum,B.hortorum,A,C,bom,prm,1,128,100,1,0.17,9.1,1.174,3,,20,1,0,,0.75,2,1.5,1
Bombini,Bombus,polaris,B.polaris,A,C,bom,prm,1,21,16,1,0.16,,1.24,3,0,15,1,0,0.35,,5,1,1
Bombini,Bombus,morio,B.morio,A,C,bom,prm,1,525,300,1,0.38,9.73,1.3,3,,,1,0,0.34,0.75,2,1.5,1
Bombini,Bombus,pratorum,B.pratorum,A,C,bom,prm,1,130,100,1,0.21,7.2,1.221,3,,7,1,0,,0.75,5,1,1
Bombini,Bombus,lapidarius,B.lapidarius,A,C,bom,prm,1,400,300,1,0.3,7.9,1.45,3,,,1,0,,0.75,5,2,1
Bombini,Bombus,lucorum,B.lucorum,A,C,bom,prm,1,400,130,1,0.25,7.05,1.11,3,,3,1,0,0.37,0.75,5,1.5,1
Bombini,Bombus,muscorum,B.muscorum,A,C,bom,prm,1,,50,1,,11.05,,3,,,1,0,,,2,1,1
Bombini,Bombus,pascuorum,B.pascuorum,A,C,bom,prm,1,180,60,1,0.42,9.1,,3,,9,1,0,0.61,0.75,2,1,1
Bombini,Bombus,hypnorum,B.hypnorum,A,C,bom,prm,1,150,50,1,0.22,5.51,1.44,3,15.4,2,1,0,0.34,0.69,5,1,1
