"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"H.ligatus",0.803657323957227,1.07864485905473,-0.61351184276692,0.655095982179133,-1.17924960148637,-0.824007847008391,0.808561977959119,-0.234242100432641,0.413326012879897,0.356601528428341,-0.051079840157731,-0.182756037022233,0.131835446325728,-0.380756968929403,0.458087131440781,0.168288846970659,-0.14950663662087
"L.baleicum",1.06870041279448,1.53081586472578,-1.36749411701288,0.416683119891362,0.900992453351418,0.803072028023456,0.939733178150817,0.382140032610661,-0.590701042719439,0.117675000845621,0.0317138793870493,-0.343949682031944,-0.169658854652386,-0.163178741865644,0.095014632064044,0.00229690930948484,-0.123415939142508
"L.zephyrum",1.45104158461977,1.10229893019066,-1.11217871329961,-0.152961461630179,0.758787903988785,0.680219385720933,0.970689642226735,0.311915453639101,-0.541091861340763,1.18209844098387,-0.27080658955723,-0.384117050732335,0.181126046401327,-0.144321930220436,-0.236963640543433,0.0294004875183842,-0.108822547483849
"L.villosulum",-2.10366227381184,0.229933560176673,-0.321191621777113,0.255140607472971,-0.198563843714556,-0.171590009085401,0.844399057107928,0.0410730257495161,-0.199371334089055,-0.387061548004467,-0.0400843428987089,-0.461575623657245,0.0467471093172628,0.0240561141059877,-0.198194748510559,0.128471243074314,0.00252399704232027
"L.marginatum",2.76930880335479,-0.597423621417673,-1.00296953571382,-2.49129935388452,0.375136058108464,0.103491320605102,-0.242579816346071,-0.495372090464702,0.630691349142503,-0.204587771766391,-1.10396153394405,-1.21853848489232,0.362806776460214,-0.17071995573542,-0.405748949311988,-0.0067665068801422,-0.0595635761847087
"A.amphitrite",0.948956344108106,0.391916020471054,-1.70311045911374,0.503477595690965,0.612549792049214,-0.731377925772473,0.255468765221238,-1.15441668025274,-0.13239154755241,0.948341308912638,0.0228213120159391,-0.339703322253312,-0.197634880501596,0.24033283138664,-0.24255280358177,0.277191111816157,0.00826832993184716
"A.phoemonoe",1.47190192663794,0.582091093349963,-1.26313152446697,0.462832100397714,0.844873113273777,0.34376640129038,0.462374327931642,-1.03234088536355,-0.491362315486359,0.859070599635358,-0.621690393415575,0.113892846538044,-0.123010445054346,0.285067850979935,-0.281635356441821,0.0860652727928093,0.0445721239599977
"A.striata",1.09756604531174,0.389035007330155,-1.33993967621353,0.18268256077542,1.38015020771691,-0.0824823619841022,0.421555733631569,-0.31993932221191,-0.364796056329629,0.286601534620454,-0.481631525700982,0.0735941206377863,0.358181214212807,0.271249949434282,-0.076288849078571,-0.149034531504117,-0.146820221462714
"M.genalis",1.15470214057733,0.150792189367981,-1.82834828911267,1.14639271225799,0.808602612317216,-1.13104922310424,-0.49575453964382,-0.15821307792656,0.237772065994271,-0.430323329338325,0.319559677938571,0.121326889050954,0.0532714284875024,-0.23243879605862,0.128646271226216,0.161634339101048,-0.108499045289771
"D.novaeangliae",-2.87946608949184,-0.3223419469378,0.430916218497417,0.227339440978118,0.014828872962069,0.408680990401668,-0.161996813475728,-0.109345728425133,0.122444355630967,-0.0947104448059711,0.124436982431747,0.136683634701581,0.0555179122001978,-0.0507750728913774,-0.0437739293097223,0.00382784758839207,0.00768261879077081
"E.meriana",-2.74543048756274,-0.310704909111046,0.611722918766084,-0.0122940609803248,0.0306415456840467,0.685158452459609,0.00076675592886144,0.03837740305207,0.0820737631941468,-0.0809774268942797,-0.0879603877693247,0.124172157571981,0.244745254448496,-0.048613416528827,-0.0290584223280834,-0.070012712589021,0.0147146181043249
"E.nigrita",-2.6817778466089,-0.951522233450602,0.12181371352569,-0.0131595107213369,0.551989966184742,0.146467503793014,-0.38752350622111,0.16577287789743,0.215467179450035,-0.0460949280737438,0.215736574927785,0.0380078618516154,0.492378182756436,-0.0444653095508407,-0.175458108705474,-0.0433565138783142,-0.0730947493968047
"E.atroveneta",0.0329935329443805,1.14239496169876,-0.745163774706276,0.716664746914907,0.418109472926233,-0.351007096525908,0.790823092916019,0.348741901872023,0.0533662386213286,-0.799539636424708,-0.384021895534433,0.103298133466374,0.545695726395919,0.00949154584032205,-0.671562521914616,0.0505142146518935,-0.02456413072332
"E.townsendi",0.702793562305268,1.83124297394065,-0.534723850647793,1.34860260628841,-0.225119344816258,-0.0117246290425395,0.0832581088159317,0.464589854102372,0.130811344504088,-1.00334059484256,-0.155455987605224,0.247144875507879,0.309027798632804,-0.0365099954749069,-0.711186710706001,0.231207630994588,-0.10426532025518
"E.viridissima",0.211012348545701,1.72721127966249,-0.254337468207654,0.889119292128975,-0.342320131903047,0.0464867518047964,0.449416296463925,0.742027700191795,-0.399871855153933,-0.831449532362205,-0.512484223736936,0.10088205321342,0.216019209831353,0.072736978114001,-0.658685736061846,0.111695266894977,-0.0552232042954389
"E.melanotricha",0.233155836444862,1.27660072855268,-1.02748787703852,0.997137051761826,0.225063792428576,-0.594998595841366,0.056869485217413,0.733135742580318,-0.447849650359721,-0.658855666193728,0.192070195968889,-0.115781641243764,0.0963429884988239,0.12851917311845,-0.266833012939542,0.00639600203224194,0.0281400406864133
"E.cordata",0.907123723801894,1.51213721953393,-0.716325593789859,1.24800380558658,0.0343007531893269,-0.139348344506534,-0.135914025044724,0.425551321862644,-0.0966343071959215,-0.911516130278731,-0.118548854717202,0.282704683415814,0.224487436247157,0.0656306611841022,-0.207629357856718,0.030661700484482,-0.0757231887937818
"E.dodsoni",-2.87658026776318,-0.243368899025775,0.387330103910342,0.154819632640536,-0.0124957297180705,0.484901194311443,-0.0879367210446818,-0.108517645420754,0.155097803900764,-0.125974499534759,0.17296972192619,-0.0114890399523045,0.0650235816712205,-0.0570502020037099,-0.0212959624516578,0.0351135517826798,0.00791048645566017
"E.hyacinthina",-1.20417481861543,0.916728631802957,-0.47421233506944,-0.0616818738005319,-0.0267946069763121,-0.893599491184174,1.6695651601953,0.674488999903606,-0.376543353373072,-0.376362840889605,-0.69016532504518,-0.256130725872503,0.150943335835433,-0.248859831213923,-0.420880846882041,0.0343786451246209,-0.0244884597213782
"A.cerana",6.08321002379356,-0.867691567572936,4.10258290672133,-1.31315659973325,-0.686416044192481,-0.505181796295345,-0.339478962312415,0.998286395694016,0.26511061814765,0.135008581092609,0.783954772681518,0.171700540061901,-0.11590981367918,0.701191966339006,0.109856313260562,0.0293789208223889,-0.0546439386133726
"A.mellifera",6.14493118712739,-0.548819025770048,4.6323499833893,-1.22859369150451,-0.559752821911254,-0.774392121854805,-0.351718366867891,1.2191865710797,0.613953225614066,0.380089925459359,0.6961806338639,0.303762157659085,-0.226397173128316,0.136347952088538,0.0840241635138916,-0.234979445200808,-0.0650384969868715
"A.dorsata",6.19928825631778,-0.618906010636775,4.17648528657423,-1.64123687585415,-0.937650581819635,-0.551982381084694,-0.393409887187649,1.07627901326344,0.718577148313496,0.184316931638143,0.689047411829973,0.320253217314731,0.221384975941067,0.642129493816525,0.0937664496153556,-0.153931273438541,0.178871399553542
"A.florea",5.99009932987844,-0.909827456869327,4.35389830591124,-0.241024789681152,-0.933076273022404,-0.316879789364827,-0.0292222844126483,1.00829360115258,0.0027236751494944,0.519651082863192,0.37097366166971,-0.0800520533963816,0.122484630360571,0.360000987907705,0.420453757947019,0.136199828210159,-0.00372433851381635
"A.nebulata",4.6194987042073,-2.85567698667009,0.174053594415349,-1.34010175777224,0.771642476192195,-0.431202275450345,-0.0114517621550285,0.642358499459666,0.189395331184909,0.346842116284347,-0.167862374245961,0.263576123297734,-0.86438674485564,-0.636662007090324,0.374315434767841,0.217200015222334,0.195566742374258
"A.australis",4.53788771851161,-1.72981507628446,-0.0665499844549262,-2.93974686075519,0.809933631712975,-0.0761914517866348,0.195579629598999,0.795816158837496,0.330951037634785,0.115820448807992,0.414695241968927,0.480245690340225,-0.499960913762109,-0.527285618571859,0.337350027611439,0.587809686256033,0.230004155094298
"H.gribodoi",4.08749645873443,-1.49933611668639,-0.144572976305987,-1.82782599510182,0.507157872660282,-0.0923306861333586,0.0561387337224748,0.419993745964004,0.353789476114626,0.253996951929087,-0.0838279431862117,-0.36156676827447,-0.790741035804308,-0.279547904151638,0.551415679513272,0.271265450420523,0.12783471668556
"T.carbonaria",5.60654524892481,-2.83097602223106,2.36291988548188,-1.90309960004273,1.49174643597039,-0.230269115296173,0.776408398557579,0.483415008249801,-0.410009414928151,-0.0685977889283126,0.54164835818912,-0.00989893679663739,-0.682014893906882,-1.00375816483145,0.185309021574815,0.456332460297604,0.108849553326065
"M.scutellaris",3.72606295271749,-0.621076673834922,-0.629441930976522,-3.74226274687569,0.675564088109295,0.0364327880012814,0.0696027541371989,0.931053316955626,0.377379234011013,0.258966649316766,0.213716366559304,0.305588806917744,-0.566750982761098,-0.534447951859976,0.349910567435558,0.248192916766605,0.239777330767867
"M.flavolineata",3.68297978223354,-0.610800209994287,-0.513024147833492,-4.08865589672449,0.487120506240357,-0.144660543827028,0.0981803324247303,0.907775301667372,0.461983126921123,0.200964486539871,0.333346716402057,0.362440881550149,-0.551163556479651,-0.509747054597717,0.31695464457247,0.210510966036438,0.132793923689725
"M.fasciata",3.91055498127669,0.0644303912143028,-0.501192520768064,-3.00459170629792,0.706594383689787,0.4260460601782,0.31635227157417,1.05441810798213,0.836830599140856,0.472129278002961,0.222408602929797,0.119108193657376,-0.607724858135959,-0.549361370919527,0.573708732936828,0.444472629186174,0.158103499664007
"M.fuliginosa",3.47120706994773,-0.334686729800239,-0.500268498040633,-3.72655489498826,0.284610173345001,0.0305281013117953,0.202662950680198,0.721558468944341,0.228293332593694,0.184494801121347,0.28631701056565,0.383286509383367,-0.925284782233267,-0.472497121624248,0.435079343647415,0.39420655749832,0.206001270231428
"M.bicolor",3.43357956675424,0.0600145277696386,-0.336694553343323,-5.20611488149664,-0.455863520173029,0.360899729572225,0.523946536455294,0.416909483220119,0.341646213516425,-0.374275292455724,0.185715871745026,-0.484025276230445,-0.831419096558912,-0.515353245931325,0.536816063381461,0.327392246505188,0.119592824242866
"M.marginata",3.43572202117484,0.233520868580994,-0.499067930502352,-4.44137636518791,0.294424424188632,0.190000706426443,0.636497511263296,1.04425678537429,0.496461968479581,0.287656164579551,0.716153195971696,-0.0103112321736256,-0.591944492996127,-0.619875553248468,0.337660905813837,0.135738576248144,0.158765104019215
"M.beecheii",3.91752675662428,-0.0139292721369568,-0.333197767920798,-3.12992994238404,0.702019213428442,0.0873373996865289,0.038603759433005,0.935666895296798,0.621101152846106,0.471691870844635,0.433351710286118,1.11306478751985,-0.621125185986812,-0.579264906601678,0.337109158734206,0.306426385216858,0.0884196205383893
"M.favosa",2.23153042775447,-0.307664894294029,0.0896919760521977,-4.20895585499625,-0.0730774246837545,-1.23161783694517,-0.0196219985453987,0.944950566365449,-0.223269350296974,0.806447389593705,-0.209902814941205,0.78905563789517,-0.75857629765859,-0.64971216747415,0.476971118764199,-0.0308639871484208,0.125408752778255
"M.fasciculata",4.06858074686606,-0.190898543588206,-0.60666211605711,-3.80795970387129,0.861370833759402,0.446391352602287,0.0394305020349913,0.825754577890659,0.496526819568218,0.0473533001301933,0.383154618798843,0.530462348890876,-0.689412943819362,-0.460726103636265,0.307492481896438,0.363019556017928,-0.0107047441759355
"M.quadrifasciata",2.82389851937594,-0.943262867836636,-0.85976963867925,-3.61392876284389,0.562036666952147,-1.02085440223793,0.322203913132868,1.28674799601789,0.198201293358151,0.772979401720342,0.926581118452084,0.269712971239836,-0.776709958923655,-0.463937459166335,0.29648767721774,0.295231893224425,0.178239749218825
"P.droryana",4.42428089754241,-1.10477891374443,0.668433304249374,-2.94115483316354,0.744794540216069,-0.267839949232518,0.180219600955624,0.879702811086478,0.758162130285322,0.339097458285061,0.0295708202444425,0.185010346819569,-0.475296886462276,-0.713428660070159,0.380700440914943,0.0747008438435438,0.125532737704655
"P.remota",5.01374054565987,-2.784677380384,0.458419760055219,-2.18818305417471,0.856842706055726,-0.109110223139436,0.12937600690689,0.702314730042379,0.40189187106787,-0.0104040502637533,-0.121143339067061,0.194986977510972,-0.90122139299846,-0.360084710628006,0.312616476129917,0.308474721901041,0.134926973074383
"F.schrottkyi",4.52109331763958,-1.41628495289408,0.20569505298994,-2.35832883364515,0.637285464108879,0.0879507005226545,0.246754063545067,0.562569420208668,0.26964358756069,0.175192836116356,0.296849980455367,0.38711765055038,-0.610065053328289,-0.532486614882001,0.330165649738227,0.264424564613635,0.162775297328563
"L.limao",5.4615252440448,-2.7498619204294,1.72092793453564,-1.63024793484532,0.39473403055263,0.0822895524501615,0.797451515024608,0.409588128571041,0.0473974241190506,0.0242320646211366,0.164667603224182,0.256795401938017,-0.892336090590899,-0.994622720721394,0.108324564386285,-0.341034464948111,0.0557042595915585
"F.varia",5.01010467709986,-0.996389641263781,3.29738808767191,-1.02677393807788,0.659840929352904,-0.480986623042559,0.574866556479578,-0.334998364569829,-0.0819802114769164,0.136389244650608,0.440201941530007,0.0980669053589142,-0.477708117056743,-0.12423704040865,0.373283530341248,0.111053001523969,0.157966201086852
"T.angustula",5.32636818558393,-4.33294036449702,-0.792310850950043,-0.92010027461083,-0.829278647183061,0.778380548916768,1.0778876471406,0.894508797955402,0.292568078382647,0.265419271834183,-0.271004950776559,0.517916193066652,-0.568419764073068,-0.329737825465882,0.489393189809711,0.247357936357173,0.218012070055878
"S.quadripunctata",4.80668539255211,-2.26984858861865,0.461024959778326,-2.34737270624566,1.0244508520539,-0.114388564415573,0.00459383972941452,0.543627850254771,0.0503105154036762,-0.0158224305488065,0.0880232241550718,0.505918795823773,-0.904131096628149,-0.571151127480541,0.208549705166971,0.262772060554454,0.134919151293823
"N.testaceicornis",4.5998030486268,-1.52734957462044,1.34187258328418,-2.10897224854822,0.696074107795424,-0.252032418810153,0.00196738489037118,0.142806860925332,-0.31012427124247,0.195498915572195,-0.223373460317217,0.587565617133301,-0.0591500959692436,-0.813448732347998,0.467630834740965,0.359166978692042,0.248885701478321
"C.capitata",3.96403415818911,-2.12822975488346,-1.18789868563034,-3.25460846835413,-0.728373146281843,-0.152063462166923,0.363970377015029,0.244360295759059,-0.137872474332704,-0.0988592835113154,0.844756198539563,0.724303852474822,-0.633005735812552,-0.83610299862563,0.125860693779128,0.0527387546531223,0.177076036237882
"T.spinipes",5.72983679088933,-3.15290832649305,1.64722154001079,-2.28829066676016,1.07406013860066,-0.340640199380228,0.698876020135264,0.906276849120758,0.505414353028422,0.0373346278239816,0.526736357391061,0.277956267860413,-0.434508513521813,-0.579365015763718,0.156536577225504,0.360178070852498,0.221256093715219
"T.fulviventris",5.14675518911804,-2.6315475818507,0.710972927537624,-3.50944750719378,-0.315229859392904,0.117844670984461,0.880630139568765,0.410496522763247,-0.0514025640426403,-0.370235889987209,0.812156612192007,0.983533552433953,-0.581060523022474,-0.639520850776325,0.0123971798827804,0.154448727306936,0.166332385806815
"G.mombuca",4.70845472161951,-1.4047237577008,0.498194160246425,-2.76243283065372,0.701230927390001,0.22440992718179,0.36679996385696,0.660706665729804,0.297875903380549,0.0601922784825331,0.248998357820428,0.441743417154897,-0.728667340655037,-0.651178741926437,0.284063079384457,0.253546342686941,0.243129657432627
"S.pectoralis",4.59648922757067,-1.8241500570712,0.380515560388084,-3.8685495302477,-0.0305503546127752,0.0732652164780244,0.651775929050607,0.422089949057993,-0.108281982235826,-0.26539995164826,0.864424592002027,0.829158874494756,-0.398138600026322,-0.220103375088967,0.00948372771462183,0.114014771664938,0.213486986867735
